Gen 080 | 0 1 0 1 0 1 0 1 0 1 
Gen 081 | 1 0 1 0 1 0 1 0 1 0 
Gen 082 | 0 1 0 1 0 1 0 1 0 1 
Gen 083 | 1 0 1 0 1 0 1 0 1 0 
Gen 084 | 0 1 0 1 0 1 0 1 0 1 
Gen 085 | 1 0 1 0 1 0 1 0 1 0 
Gen 086 | 0 1 0 1 0 1 0 1 0 1 
Gen 087 | 1 0 1 0 1 0 1 0 1 0 
Gen 088 | 0 1 0 1 0 1 0 1 0 1 
Gen 089 | 1 0 1 0 1 0 1 0 1 0 
Gen 090 | 0 1 0 1 0 1 0 1 0 1 
Gen 091 | 1 0 1 0 1 0 1 0 1 0 
Gen 092 | 0 1 0 1 0 1 0 1 0 1 
Gen 093 | 1 0 1 0 1 0 1 0 1 0 
Gen 094 | 0 1 0 1 0 1 0 1 0 1 
Gen 095 | 1 0 1 0 1 0 1 0 1 0 
Gen 096 | 0 1 0 1 0 1 0 1 0 1 
Gen 097 | 1 0 1 0 1 0 1 0 1 0 
Gen 098 | 0 1 0 1 0 1 0 1 0 1 
Gen 099 | 1 0 1 0 1 0 1 0 1 0 
Gen 100 | 0 1 0 1 0 1 0 1 0 1 
Gen 101 | 1 0 1 0 1 0 1 0 1 0 
Gen 102 | 0 1 0 1 0 1 0 1 0 1 
Gen 103 | 1 0 1 0 1 0 1 0 1 0 
Gen 104 | 0 1 0 1 0 1 0 1 0 1 
Gen 105 | 1 0 1 0 1 0 1 0 1 0 
Gen 106 | 0 1 0 1 0 1 0 1 0 1 
Gen 107 | 1 0 1 0 1 0 1 0 1 0 
Gen 108 | 0 1 0 1 0 1 0 1 0 1 
Gen 109 | 1 0 1 0 1 0 1 0 1 0 
Gen 110 | 0 1 0 1 0 1 0 1 0 1 
Gen 111 | 1 0 1 0 1 0 1 0 1 0 
Gen 112 | 0 1 0 1 0 1 0 1 0 1 
Gen 113 | 1 0 1 0 1 0 1 0 1 0 
Gen 114 | 0 1 0 1 0 1 0 1 0 1 
Gen 115 | 1 0 1 0 1 0 1 0 1 0 
